band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume,target,homogeneous_poisson,universal_anisotropy
0.0,5.049622,15.79998,0.0,2.66115,1.937313,-6.121132,1.784563,0.0,1.0,1.0,0.0,3.0,5.0,5.0,3.0,0.0,10.99039,10.99039,0.1391189,-6.048932,78.99992,1,0.0,0.0
0.0,5.201076,23.22983,0.0,1.934594,2.887722,-18.19197,2.204516,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,0.0,5.795089,5.795089,0.04989352,-5.476397,116.1491,1,0.595,-6.941
0.0,4.189327,22.33378,0.0,1.369121,2.06271,-13.85988,1.603114,0.0,1.0,1.0,0.0,3.0,5.0,5.0,3.0,0.0,12.22803,12.22803,0.1095026,-6.816064,111.6689,1,0.546,-8.192
0.0,2.191777,31.6932,0.0,1.824992,1.332138,-8.950436,0.03979701,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.002728,0.002728,1.721505e-05,-3.564023,158.466,1,0.0,0.0
0.0,5.140392,33.36691,0.0,1.788733,1.73394,-20.97165,0.793462,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0006871,0.0006871,4.118452e-06,-4.180874,166.8345,1,0.374,23.425
0.0,1.160966,14.71088,0.0,-2.251445,1.590249,-4.596275,0.889883,0.0,1.0,1.0,0.0,4.0,42.0,10.0,2.0,0.0,19.99611,9.998053,0.03236365,-4.527513,617.857,1,0.0,0.0
0.0,4.626233,34.00697,0.0,2.041524,1.848389,-19.81036,1.012616,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0067213,0.0067213,3.952895e-05,-4.12775,170.0349,1,0.36,20.421
0.0,1.853233,29.60718,0.0,2.085557,1.160129,-7.894437,-0.04529493,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0035256,0.0035256,2.381585e-05,-3.811278,148.0359,1,0.254,3.575
0.0,6.058692,20.64478,0.0,1.559278,2.237165,-5.97806,1.985835,0.0,1.0,1.0,0.0,3.0,5.0,5.0,3.0,1.0,11.66638,11.66638,0.1130202,-5.90586,103.2239,1,0.0,0.0
0.0,4.414446,34.88594,0.0,2.139976,1.861269,-19.79912,1.015426,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0062381,0.0062381,3.576283e-05,-4.137035,174.4297,1,0.363,19.195
0.0,4.784525,16.22589,0.0,2.754058,1.987055,-11.88106,1.691358,0.0,1.0,1.0,0.0,2.0,5.0,5.0,3.0,0.0,7.742492,7.742492,0.09543383,-7.184062,81.12943,1,0.57,-6.81
0.0,5.469897,15.10483,0.0,3.348754,2.018678,-9.392446,2.018678,0.0,1.0,1.0,0.0,2.0,5.0,5.0,3.0,0.0,5.002412,5.002412,0.06623591,-4.248205,75.52417,1,0.0,0.0
0.0,4.996838,32.70462,0.0,1.851895,1.970403,-20.01013,1.001796,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0045684,0.0045684,2.793733e-05,-4.093708,163.5231,1,0.357,23.119
0.0,1.981582,10.48296,0.0,2.922383,3.193112,-5.812956,3.193112,0.0,1.0,1.0,0.0,2.0,32.0,1.0,6.0,1.0,3.594679,0.4493349,0.01071584,-5.722706,335.4547,1,0.0,0.0
2.9912,0.52823,44.03134,0.0,-6.0051,4.688205,-4.440546,4.688205,0.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,12.0,6.0,0.06813329,-4.440546,176.1254,1,0.0,0.0
0.48175,2.04174385,21.9974185,0.0,1.0223950000000004,4.68726,-4.441491,4.68726,0.5,0.5,0.5,0.0,1.0,2.0,1.0,0.5,0.0,3.0000006,3.0000006,0.0402451446215,-4.441491,43.994834999999995,1,0.352,0.224
0.0,4.720641,30.9546,0.0,2.393477,0.6831039,-4.373828,0.1128676,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0001835,0.0001835,1.185607e-06,-4.229428,154.773,1,0.251,0.878
0.0044,2.701278,16.96178,0.0,-1.20107,0.2184994,-7.695323,0.1646292,0.0,1.0,0.0,0.0,3.0,48.0,4.0,9.0,0.0,8.791549,4.395774,0.01079824,-3.829716,814.1652,1,0.0,0.0
0.0,3.91315,24.68634,0.0,2.379545,0.5582295,-12.85138,-0.1124813,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0004002,0.0004002,3.242279e-06,-4.327279,123.4317,1,0.2,0.73
0.0,21.74541,14.51829,0.0,9.646653,0.0,-52.48224,-0.3707774,0.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,1e-07,5e-08,8.609829e-10,-52.48224,116.1463,1,0.266,0.059
0.0,0.9067424,23.29374,0.0,-0.5011198,1.357456,-3.349188,1.017398,0.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,1.0,0.1137106,0.1137106,0.001220399,-2.267325,93.17496,1,0.126,-3.335
0.0,4.552897,27.23333,0.0,2.2024,1.442161,-4.180513,1.393307,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.999829,1.999829,0.03671657,-4.180513,54.46666,1,0.464,-16.105
0.0,5.070189,20.77387,0.0,2.624162,1.414002,-10.73171,1.414002,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0005376,0.0005376,6.469665e-06,-1.344143,83.09549,1,0.37,-8.672
0.3833,1.542124,21.14956,0.0,-2.825758,1.869224,-5.676835,0.5582132,0.0,1.0,0.0,0.0,3.0,68.0,52.0,17.0,0.0,8.0,2.0,0.005562624,-5.372659,1438.17,1,0.0,0.0
0.0,10.07563,29.64905,0.0,3.552068,0.3912444,-4.463772,-0.3104159,0.0,0.0,1.0,0.0,3.0,16.0,0.0,0.0,1.0,0.0286238,0.0143119,6.033878e-05,-4.463772,474.3848,1,0.0,0.0
0.0,9.690357,30.31815,0.0,3.618864,0.3729901,-4.502077,-0.3170604,0.0,0.0,1.0,0.0,3.0,16.0,0.0,0.0,1.0,0.0087369,0.00436845,1.801087e-05,-4.502077,485.0904,1,0.0,0.0
0.0,3.690811,26.24271,0.0,2.012232,2.41415,-5.551798,2.342979,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,0.0,11.68343,11.68343,0.08904136,-5.551798,131.2135,1,0.0,0.0
0.0,20.94043,15.24691,0.0,8.08176,0.01169781,-51.70817,-0.2504301,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,2.1e-06,2.1e-06,3.443321e-08,-51.70817,60.98763,1,0.325,0.657
