band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume,target
0.0,2.499106,13.25786,0.0,-1.033392,1.124144,-4.873339,-0.6600121,0.0,1.0,1.0,0.0,4.0,116.0,56.0,2.0,1.0,56.32087,14.08022,0.03662165,-4.433477,1537.912,1
0.6641,1.841094,14.64549,0.0,1.280939,0.4094074,-4.304346,-0.1291451,0.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,0.0004258,0.0002129,1.211408e-06,-4.124596,351.4918,1
0.7138,2.263853,19.70654,0.0,1.755126,0.5423921,-4.903804,0.1159662,0.0,1.0,0.0,0.0,5.0,32.0,4.0,2.0,0.0,3.994541,0.9986354,0.006334417,-4.732929,630.6092,1
1.214,2.256708,9.139107,0.0,2.729385,0.8448243,-5.596927,0.5034728,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0008988,0.0008988,4.683171e-06,-3.991155,191.9212,1
0.7308,1.206784,11.21066,0.0,1.632359,0.641751,-5.238678,0.07933482,0.0,0.0,0.0,0.0,4.0,56.0,0.0,0.0,0.0,0.0009359,0.000233975,1.490769e-06,-4.532589,627.7968,1
0.6967,1.019758,19.71637,0.0,-0.4927396,1.133597,-5.135172,0.6085336,1.0,0.0,0.0,0.0,4.0,28.0,0.0,0.0,1.0,0.0034896,0.0034896,6.321071e-06,-3.909766,552.0584,1
1.2611,1.244063,14.94973,0.0,-0.9194736,0.3821106,-4.711612,-0.07702182,0.0,0.0,0.0,0.0,4.0,56.0,0.0,0.0,0.0,0.0006225,0.000155625,7.435635e-07,-4.608469,837.1847,1
1.32785,1.8389159999999998,11.658596,0.0,0.36907650000000003,0.3650757,-4.89443,-0.23439044999999997,0.0,0.5,0.5,0.5,4.0,28.0,4.0,0.5,0.0,4.0,2.0,0.01063026,-6.2780275,326.44075,1
1.3404,1.103957,17.7653,0.0,0.3479914,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,1.0,0.0016509,0.00082545,4.646417e-06,0.0,355.3061,1
0.0,1.560166,12.8214,0.0,0.1285939,0.4998116,-5.683747,-0.2655308,1.0,1.0,1.0,0.0,6.0,164.0,8.0,2.0,0.0,4.903655,1.225914,0.002332065,-5.495162,2102.709,1
0.0252,0.8822084,15.3352,0.0,0.3062832,0.6074827,-5.272946,0.04506657,0.0,0.0,0.0,0.0,4.0,56.0,0.0,0.0,0.0,0.0007982,0.00019955,9.294676e-07,-4.464571,858.7712,1
0.0,1.596352,29.65381,0.0,-2.15677,0.7550821,-5.526258,0.2003386,0.0,0.0,1.0,0.0,4.0,120.0,0.0,0.0,0.0,7.93829,0.9922863,0.002230823,-5.232524,3558.458,1
0.2201,1.144388,13.49147,0.0,1.23451,0.4663734,-5.595168,-0.1018636,0.0,0.0,0.0,0.0,4.0,28.0,0.0,0.0,0.0,0.0055095,0.00275475,1.458461e-05,-4.588044,377.7612,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.321,2.06345,12.96695,0.0,0.5957165,0.5906047,-4.647304,-0.0278206,0.0,1.0,0.0,0.0,6.0,39.0,2.0,7.0,1.0,1.998932,1.998932,0.003952715,-4.545355,505.7112,1
0.6806,1.297539,25.28353,0.0,-1.208301,0.8854026,-6.129473,0.1024744,1.0,1.0,0.0,0.0,6.0,112.0,8.0,6.0,0.0,8.147178,1.018397,0.002877076,-5.972116,2831.756,1
0.1969,0.9251401,24.2686,0.0,-1.469856,2.016427,-5.797423,1.112367,0.0,1.0,0.0,0.0,4.0,72.0,8.0,9.0,0.0,2.923932,0.243661,0.001673363,-5.682923,1747.339,1
0.0,11.13374,13.02781,0.0,8.623606,0.6474366,-9.379922,0.5363254,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0019984,0.0019984,5.113166e-05,-9.379922,39.08342,1
0.6554,2.275644,14.61452,0.0,2.691613,2.422438,-7.521736,-0.6233803,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,5.9e-06,1.966667e-06,4.485645e-08,-5.641826,131.5307,1
0.0,2.476753,13.06463,0.0,0.5679723,0.7269218,-5.541295,0.7269218,0.0,1.0,1.0,0.0,2.0,16.0,4.0,1.0,0.0,2.001079,0.5002698,0.009572984,-2.848152,209.034,1
0.0,3.491531,11.67496,0.0,2.869058,0.05620297,-7.657124,0.05620297,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,6.42e-05,3.21e-05,5.498946e-07,-3.316692,116.7496,1
0.0,4.106961,20.40145,0.0,2.063102,0.8105842,-7.353164,0.5157148,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0135469,0.0135469,0.0003320083,-7.353164,40.80289,1
0.0,1.239748,14.80181,0.0,0.3099945,1.052622,-6.236969,0.9522772,0.0,0.0,1.0,0.0,2.0,15.0,0.0,0.0,1.0,1.8e-06,6e-07,8.107116e-09,-6.236969,222.0272,1
0.0,3.18947,15.27481,0.0,3.479119,1.552782,-9.466787,0.6752687,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0071934,0.0071934,0.0002354661,-6.566714,30.54962,1
0.0,11.99906,13.18161,0.0,5.428519,0.7634334,-9.768369,-0.1754417,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.42e-05,1.42e-05,5.386291e-07,-9.768369,26.36322,1
0.0,2.83339,16.69295,0.0,2.510173,0.9216357,-7.305142,0.4754249,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.000244,1.000244,0.02996006,-7.305142,33.38591,1
0.874,0.7146515,8.755573,0.0,0.6550818,0.2907519,-3.453838,-0.1761219,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,1.0,0.0003632,0.0001816,2.074108e-06,-3.346438,175.1115,1
0.1282,2.206962,15.29394,0.0,4.265856,1.558534,-6.155151,0.08018742,1.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,1.0,0.0010156,0.0001692667,3.689189e-06,-5.926151,275.2909,1
0.2264,1.656294,12.45802,0.0,0.7539403,0.5038552,-5.550829,0.08049039,1.0,1.0,0.0,0.0,3.0,112.0,16.0,1.0,0.0,64.0,4.0,0.04586832,-5.447686,1395.299,1
0.2863,1.303906,12.62749,0.0,-1.232688,0.5983045,-5.176503,-0.2441332,0.0,1.0,0.0,0.0,5.0,116.0,12.0,8.0,1.0,0.0043083,0.001077075,2.941243e-06,-4.893261,1464.789,1
0.0,3.044713,15.53435,0.0,2.554634,0.5788384,-7.64794,0.1326276,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0054777,0.00273885,8.815463e-05,-7.64794,62.1374,1
0.0,0.5707186,24.72949,0.0,-2.761029,0.02929875,-4.812555,0.02929875,0.0,1.0,1.0,0.0,2.0,16.0,2.0,4.0,1.0,2.000738,0.5001845,0.005056559,-3.734321,395.6718,1
0.0,2.303328,11.55608,0.0,4.887903,2.288662,-6.091108,2.18672,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,1.01e-05,1.01e-05,2.184997e-07,-6.091108,46.22433,1
8.0699,0.1038764,16.11264,0.0,-7.606728,0.002440394,-3.452672,0.002440394,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.452672,64.45057,1
9.3289,0.1070731,15.63159,0.0,-8.613432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0001991,0.0001991,6.368513e-06,0.0,31.26319,1
2.3055,1.083858,44.38636,0.0,-2.793411,0.7240229,-4.606684,-0.2439774,1.0,0.0,0.0,0.0,3.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.209434,1420.363,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.1182,1.965381,16.05047,0.0,-0.6517372,0.551717,-4.859826,-0.2787134,0.0,1.0,0.0,0.0,6.0,24.0,4.0,2.0,0.0,1.998906,0.9994532,0.005189117,-4.618993,385.2113,1
